attribute,country,value,entity_code,income_group,econ_region,geo_region
"Quality of primary education, 1-7 (best)",Albania,5.056987,ALB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Primary education enrollment, net %",Albania,95.51731,ALB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of the education system, 1-7 (best)",Albania,4.2865763,ALB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of math and science education, 1-7 (best)",Albania,4.29543,ALB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Internet access in schools, 1-7 (best)",Albania,5.2714176,ALB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Individuals using Internet, %",Albania,66.36344,ALB,Upper middle income,Emerging and Developing Europe,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Albania,8.227068,ALB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Albania,56.96411,ALB,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of primary education, 1-7 (best)",Algeria,3.4083552,DZA,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %",Algeria,97.06215,DZA,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)",Algeria,3.2123601,DZA,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)",Algeria,3.6211865,DZA,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)",Algeria,3.2764251,DZA,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %",Algeria,42.945526,DZA,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,Algeria,6.919542,DZA,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",Algeria,40.01454,DZA,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",Argentina,3.3108637,ARG,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Argentina,99.34679,ARG,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Argentina,3.173132,ARG,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Argentina,3.1462128,ARG,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Argentina,3.952558,ARG,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Argentina,70.150764,ARG,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Argentina,16.938744,ARG,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Argentina,41.129974,ARG,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Armenia,4.2552834,ARM,Lower middle income,Commonwealth of Independent States,Eurasia
"Primary education enrollment, net %",Armenia,96.07425,ARM,Lower middle income,Commonwealth of Independent States,Eurasia
